,Zipcode,ann_Crime_per_1000_res
0,98103,48.96
1,98038,19.77
2,98115,32.44
3,98052,39.11
4,98117,32.42
5,98042,22.17
6,98034,28.3
7,98118,44.52
8,98023,22.01
9,98006,31.76
10,98133,35.61
11,98059,23.3
12,98058,27.1
13,98155,43.47
14,98074,12.13
15,98033,30.27
16,98027,23.98
17,98125,39.83
18,98056,28.44
19,98053,11.98
20,98001,28.96
21,98075,16.14
22,98126,47.29
23,98092,23.99
24,98144,85.24
25,98106,59.03
26,98116,33.61
27,98029,24.48
28,98004,74.23
29,98199,31.02
30,98065,17.09
31,98122,73.12
32,98146,52.17
33,98008,28.51
34,98028,16.62
35,98040,25.18
36,98198,39.35
37,98003,51.17
38,98031,33.56
39,98072,32.12
40,98168,94.01
41,98112,36.46
42,98055,31.48
43,98107,53.66
44,98136,27.1
45,98178,45.74
46,98030,64.47
47,98177,24.76
48,98166,45.65
49,98022,34.29
50,98105,59.33
51,98045,38
52,98002,47.16
53,98077,14.78
54,98011,20.92
55,98019,20.14
56,98108,72.84
57,98119,45.15
58,98005,51.95
59,98007,26.44
60,98188,173.6
61,98032,80.08
62,98014,20.29
63,98070,26.54
64,98109,72.98
65,98102,59.31
66,98010,44.85
67,98024,20.3
68,98148,58.76
69,98039,26.58
70,98101,263.1
71,98104,183.5
72,98121,91.11
73,98057,128.7
